ym,port,history_n,scenario,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,pressure_index,enough_history,high_pressure_cut,pressure_status
202510,臺中港,10,custom_nearby_a,10016,5511,80123,45046,124361.5,4505,15527,125169,0.12485375297017164,0.03622503749150661,0.36221821061984616,4850.666666666667,43911,0.03717352463776827,10,0.08053939523083913,0.036225037491506615,0.03900456867010021,0.4833333333333333,TRUE,0.4833333333333333,高壓力港
202511,臺中港,11,custom_nearby_a,10475,5543,86134,43059,129488.5,4932,16018,129193,0.12370210482011916,0.03808832444580021,0.33253146032273134,4638.666666666667,48843,0.03655963020468681,11,0.08089521463295968,0.03808832444580021,0.03582300101295997,0.45999999999999996,TRUE,0.45999999999999996,高壓力港
202512,臺中港,12,custom_nearby_a,12988,10055,96048,53118,147130.25,2933,23043,149166,0.1566163314478158,0.01993471770760941,0.3610270491622219,4123.333333333333,51776,0.03141602654830541,12,0.08827552457771261,0.019934717707609413,0.028025054897502948,0.3363636363636363,TRUE,0.3363636363636363,高壓力港
202501,臺北港,1,custom_nearby_a,2741,6723,65885,51689,117935,-3982,9464,117574,0.08024759401365159,-0.03376436172467885,0.4382838003985246,-3982,-3982,-0.03376436172467885,0,0.02324161614448637,0,0,0,FALSE,0,非高壓力港
202502,臺北港,2,custom_nearby_a,8091,3290,62585,45740,100157.25,4801,11381,108325,0.11363131475754376,0.04793462280563813,0.4566818677629428,409.5,819,0.00708513054047963,1,0.08078296878159094,0.047934622805638136,0.004088570722538808,1,FALSE,1,非高壓力港
202503,臺北港,3,custom_nearby_a,3757,6981,76463,59820,131944.25,-3224,10738,136283,0.0813828567747363,-0.02443456232461816,0.45337329970802065,-801.6666666666666,-2405,-0.00342143374788629,0,0.028474147225059067,0,0,0.15,TRUE,0.5,非高壓力港
202504,臺北港,4,custom_nearby_a,11784,7100,74748,54160,120731.25,4684,18884,128908,0.15641352176839057,0.03879691463477765,0.4485996790391883,2087,2279,0.02076565837193254,1,0.09760521820158409,0.038796914634777656,0.017286328104778176,0.85,TRUE,0.85,高壓力港
202505,臺北港,5,custom_nearby_a,6801,8814,83855,53083,130724.75,-2013,15615,136938,0.11944945390983729,-0.01539876725715673,0.40606694600678145,-184.33333333333343,266,-3.454716489990813e-4,0,0.05202534332634027,0,0,0.15,TRUE,0.6000000000000001,非高壓力港
202506,臺北港,6,custom_nearby_a,5152,7865,79202,57164,129791.5,-2713,13017,136366,0.10029162156227488,-0.02090275557336189,0.4404294580153554,-14,-2447,8.317972680863423e-4,0,0.03969443299445649,0,0,0.12,TRUE,0.18,非高壓力港
202507,臺北港,7,custom_nearby_a,4324,8554,70167,52201,123743.75,-4230,12878,122368,0.10406990252032931,-0.03418354462346583,0.42184756805899287,-2985.3333333333335,-6677,-0.02349502248466148,0,0.03494317894843174,0,0,0.09999999999999999,TRUE,0.3416666666666667,非高壓力港
202508,臺北港,8,custom_nearby_a,3206,6951,72494,54714,117768.5,-3745,10157,127208,0.0862454731103818,-0.03179967478570246,0.46458942756339766,-3562.6666666666665,-10422,-0.02896199166084339,0,0.027222899162339675,0,0,0.04285714285714285,TRUE,0.23571428571428568,非高壓力港
202509,臺北港,9,custom_nearby_a,7833,4980,72964,44288,107584.75,2853,12813,117252,0.11909680507692771,0.02651862833719463,0.4116568565712148,-1707.3333333333337,-7569,-0.01315486369065788,1,0.07280771670706118,0.02651862833719463,0,0.5625,TRUE,0.5625,非高壓力港
202510,臺北港,10,custom_nearby_a,4013,4440,64311,51154,113001,-427,8453,115465,0.07480464774648012,-0.00377872762187945,0.4526862594136335,-439.6666666666668,-7996,-0.00301992469012909,0,0.035512960062300335,0,0,0.13333333333333333,TRUE,0.4833333333333333,非高壓力港
202511,臺北港,11,custom_nearby_a,7765,3736,68329,52743,121710.5,4029,11501,121072,0.0944947231339942,0.03310314229257131,0.4333479855887537,2151.6666666666665,-3967,0.01861434766929549,1,0.06379893271328275,0.03310314229257131,0.017678562380950422,0.8200000000000001,TRUE,0.45999999999999996,高壓力港
